,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,type_veh,zone_veh,course_veh,lostCounter_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,type_ped,zone_ped,course_ped,lostCounter_ped,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection,video_name,sub_id
36,737,35,128,450,270,562,199,506,199,562,2,6,248.7494945,0,0,745,37,186,483,212,559,199,521,199,559,0,6,243.4349488,35,3,1,1,-0.266666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
37,874,36,143,439,311,543,227,491,227,543,7,6,239.0362435,0,0,741,37,216,469,240,542,228,505,228,542,0,6,237.7243557,31,1.414213562,1,1,4.433333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
38,957,47,545,386,626,440,585,413,585,440,2,5,39.28940686,0,0,898,44,565,381,595,432,580,406,580,432,0,5,55.30484647,0,9.433981132,1,1,1.966666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
39,939,32,0,513,143,630,71,571,71,630,2,6,238.7362683,0,0,1065,59,56,512,95,627,75,569,75,627,0,6,244.1336432,32,5,1,1,-4.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
40,1031,40,112,452,283,559,197,505,197,559,2,6,245.7722547,0,0,1053,59,179,453,215,557,197,505,197,557,0,6,245.2248594,20,2,1,1,-0.733333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
41,974,41,0,566,68,653,34,609,34,653,2,-1,241.1134182,0,0,1068,59,12,533,53,653,32,593,32,653,0,6,241.8583988,35,2,1,1,-3.133333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
42,1032,45,251,403,346,491,298,447,298,491,7,2,232.1250163,26,0,1037,59,297,390,332,490,314,440,314,490,0,5,251.5650512,4,16.03121954,1,1,-0.166666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
43,1020,46,207,419,354,508,280,463,280,508,2,2,237.9946168,0,0,1042,59,265,410,299,508,282,459,282,508,0,2,241.1892063,9,2,1,1,-0.733333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
44,1120,52,247,399,382,486,314,442,314,486,2,5,294.5196427,0,0,1036,59,303,384,338,486,320,435,320,486,0,5,251.5650512,3,6,1,1,2.8,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
45,1129,69,179,431,331,524,255,477,255,524,2,6,282.0947571,0,0,1046,59,238,428,270,523,254,475,254,523,0,6,235.6196553,13,1.414213562,1,1,2.766666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
46,1339,81,652,277,724,354,688,315,688,354,7,5,59.03624347,29,0,1340,81,671,252,725,332,698,292,698,332,0,5,59.03624347,0,24.16609195,1,1,-0.033333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
47,1403,84,677,301,724,335,700,318,700,335,2,5,68.19859051,0,0,1340,81,671,252,725,332,698,292,698,332,0,5,59.03624347,0,3.605551275,1,1,2.1,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
48,1469,87,675,303,721,334,698,318,698,334,2,5,53.13010235,0,0,1340,81,671,252,725,332,698,292,698,332,0,5,59.03624347,0,2,1,1,4.3,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
49,143,0,646,449,727,522,686,485,686,522,2,5,341.5650512,0,0,281,15,644,458,665,521,654,489,654,521,0,5,999,0,32.01562119,1,1,-4.6,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,3
